"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/AbstractCargo.cs", "C#", 37, 0, 0, 0, 0, 7, 44
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/AbstractRobotDecorator.cs", "C#", 14, 0, 0, 0, 0, 4, 18
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/BL.Abstr.csproj", "XML", 0, 5, 0, 0, 0, 3, 8
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/CargoAbstractFactory.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/IField.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/IFieldBuilder.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/IGameObject.cs", "C#", 13, 0, 0, 0, 2, 3, 18
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/IRobotProducer.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/Robot.cs", "C#", 105, 0, 0, 0, 0, 7, 112
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/RobotAbstractFactory.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/RobotCommand.cs", "C#", 18, 0, 0, 0, 0, 3, 21
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/bin/Debug/netcoreapp3.1/BL.Abstr.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/BL.Abstr.csproj.nuget.dgspec.json", "JSON", 0, 0, 70, 0, 0, 0, 70
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/BL.Abstr.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/BL.Abstr.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/Debug/netcoreapp3.1/BL.Abstr.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/Debug/netcoreapp3.1/BL.Abstr.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Abstr/obj/project.assets.json", "JSON", 0, 0, 75, 0, 0, 0, 75
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/BL.Impl.csproj", "XML", 0, 8, 0, 0, 0, 4, 12
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/CargoFactories/CargoFactory.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/CargoFactories/ProtectedCargoFactory.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/CargoFactories/SpoilableCargoFactory.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/CargoFactories/ToxicCargoFactory.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Cargos/Cargo.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Cargos/ProtectedCargo.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Cargos/SpoilableCargo.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Cargos/ToxicCargo.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Commands/MoveUpCommand.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/DecoratorsCreator/ProtectedDecoratorFactory.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/DecoratorsCreator/SpoilingDecoratorFactory.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/DecoratorsCreator/ToxicDecoratorFactory.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/EmptyElement.cs", "C#", 32, 0, 0, 0, 0, 6, 38
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Field.cs", "C#", 46, 0, 0, 0, 1, 11, 58
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/FieldBuilder.cs", "C#", 90, 0, 0, 0, 0, 11, 101
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Player.cs", "C#", 22, 0, 0, 0, 0, 2, 24
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotDecorators/ProtectedRobotDecorator.cs", "C#", 47, 0, 0, 0, 0, 5, 52
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotDecorators/SpoilingRobotDecorator.cs", "C#", 62, 0, 0, 0, 0, 3, 65
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotDecorators/ToxicRobotDecorator.cs", "C#", 62, 0, 0, 0, 0, 4, 66
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotFactories/BrightMindFactory.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotFactories/CyborgFactory.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotFactories/WorkerFactory.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/RobotProducer.cs", "C#", 54, 0, 0, 0, 0, 3, 57
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Robots/BrightMind.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Robots/Cyborg.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/Robots/Worker.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/bin/Debug/netcoreapp3.1/BL.Impl.deps.json", "JSON", 0, 0, 36, 0, 0, 0, 36
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/BL.Impl.csproj.nuget.dgspec.json", "JSON", 0, 0, 136, 0, 0, 0, 136
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/BL.Impl.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/BL.Impl.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/Debug/netcoreapp3.1/BL.Impl.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/Debug/netcoreapp3.1/BL.Impl.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"/Users/nazarkozhin/CSharpProjects/Robots/BL.Impl/obj/project.assets.json", "JSON", 0, 0, 98, 0, 0, 0, 98
"/Users/nazarkozhin/CSharpProjects/Robots/Program.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/App.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/FieldShower.cs", "C#", 24, 0, 0, 0, 0, 2, 26
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/InputProcessor.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/Program.cs", "C#", 26, 0, 0, 0, 0, 5, 31
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/RobotsConsole.csproj", "XML", 0, 10, 0, 0, 0, 4, 14
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/bin/Debug/netcoreapp3.1/RobotsConsole.deps.json", "JSON", 0, 0, 50, 0, 0, 0, 50
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/bin/Debug/netcoreapp3.1/RobotsConsole.runtimeconfig.dev.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/bin/Debug/netcoreapp3.1/RobotsConsole.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/Debug/netcoreapp3.1/RobotsConsole.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/Debug/netcoreapp3.1/RobotsConsole.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/RobotsConsole.csproj.nuget.dgspec.json", "JSON", 0, 0, 205, 0, 0, 0, 205
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/RobotsConsole.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/RobotsConsole.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/nazarkozhin/CSharpProjects/Robots/RobotsConsole/obj/project.assets.json", "JSON", 0, 0, 120, 0, 0, 0, 120
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Debug/net5.0/.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Debug/net5.0/Robots.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Debug/net5.0/Robots.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Robots.csproj.nuget.dgspec.json", "JSON", 0, 0, 60, 0, 0, 0, 60
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Robots.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"/Users/nazarkozhin/CSharpProjects/Robots/obj/Robots.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"/Users/nazarkozhin/CSharpProjects/Robots/obj/project.assets.json", "JSON", 0, 0, 65, 0, 0, 0, 65
"Total", "-", 1043, 119, 955, 17, 43, 170, 2347